##Name	Total_Item	Num_item	Num_list	Num_list_item	Ori_p	Adj_p	Enrich_score	Gene_list
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	7829	25	200	2	0.14620468	1	3.1316	KCNMB1,PDE2A
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	7829	26	200	2	0.15495105	1	3.01115384615385	CDK1,UBE2C
REACTOME_SIGNALING_BY_FGFR	7829	112	200	5	0.17194103	1	1.74754464285714	CDK1,FGF1,FOXO1,KL,SPRY2
REACTOME_SHC_MEDIATED_CASCADE	7829	28	200	2	0.17271979	1	2.79607142857143	KL,FGF1
REACTOME_TIGHT_JUNCTION_INTERACTIONS	7829	29	200	2	0.18172194	1	2.69965517241379	CLDN11,CLDN5
REACTOME_PI_3K_CASCADE	7829	56	200	3	0.18418263	1	2.09705357142857	FGF1,FOXO1,KL
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	7829	115	200	5	0.18449012	1	1.70195652173913	ACTG2,PPP1R14A,MYH11,NPR1,KCNMB1
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	7829	57	200	3	0.19049872	1	2.06026315789474	CX3CL1,CXCL2,CCL21
BIOCARTA_PPARA_PATHWAY	7829	58	200	3	0.19686784	1	2.02474137931035	PDGFA,JUN,LPL
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	7829	31	200	2	0.19991470	1	2.52548387096774	KCNJ16,GNG7
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	7829	89	200	4	0.20540078	1	1.75932584269663	PDGFA,CFD,TF,FIGF
BIOCARTA_PDGF_PATHWAY	7829	32	200	2	0.20908773	1	2.4465625	PDGFA,JUN
KEGG_ACUTE_MYELOID_LEUKEMIA	7829	60	200	3	0.20975259	1	1.95725	KIT,RUNX1T1,TCF7L2
REACTOME_AXON_GUIDANCE	7829	251	200	9	0.20998456	1	1.40360557768924	CDK1,SCN2A,SPTBN1,DPYSL2,SEMA6D,PAK7,RGMA,MYH11,SEMA5A
BIOCARTA_NO1_PATHWAY	7829	33	200	2	0.21830081	1	2.37242424242424	PDE2A,CAV1
REACTOME_DEVELOPMENTAL_BIOLOGY	7829	396	200	13	0.23362845	1	1.28506313131313	DPYSL2,LPL,PAK7,RGMA,MYH11,BOC,EBF1,SEMA5A,CDK1,SCN2A,SPTBN1,SEMA6D,FOXO1
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	7829	35	200	2	0.23681631	1	2.23685714285714	RRM2,CDK1
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	7829	127	200	5	0.23760084	1	1.54114173228346	CDK1,FGF1,FOXO1,KL,SPRY2
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	7829	10	200	1	0.24321149	1	3.9145	ABCB1
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	7829	10	200	1	0.24321149	1	3.9145	LYVE1
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	7829	10	200	1	0.24321149	1	3.9145	PELI2
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	7829	10	200	1	0.24321149	1	3.9145	JUN
BIOCARTA_RANMS_PATHWAY	7829	10	200	1	0.24321149	1	3.9145	TPX2
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	7829	10	200	1	0.24321149	1	3.9145	CDK1
REACTOME_RAF_MAP_KINASE_CASCADE	7829	10	200	1	0.24321149	1	3.9145	CDK1
REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS	7829	10	200	1	0.24321149	1	3.9145	FIGF
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	7829	10	200	1	0.24321149	1	3.9145	CDK1
BIOCARTA_DNAFRAGMENT_PATHWAY	7829	10	200	1	0.24321149	1	3.9145	TOP2A
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	7829	10	200	1	0.24321149	1	3.9145	CDO1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	7829	267	200	9	0.25968967	1	1.31949438202247	CCL21,TSLP,KIT,CXCL2,LIFR,FIGF,PDGFA,CX3CL1,IL11RA
BIOCARTA_SRCRPTP_PATHWAY	7829	11	200	1	0.26212885	1	3.55863636363636	CDK1
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	7829	11	200	1	0.26212885	1	3.55863636363636	FGF1
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	7829	11	200	1	0.26212885	1	3.55863636363636	FGF1
BIOCARTA_PTC1_PATHWAY	7829	11	200	1	0.26212885	1	3.55863636363636	CDK1
BIOCARTA_EGFR_SMRTE_PATHWAY	7829	11	200	1	0.26212885	1	3.55863636363636	THRA
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR	7829	100	200	4	0.26417943	1	1.5658	CDK1,FGF1,FOXO1,KL
REACTOME_GABA_B_RECEPTOR_ACTIVATION	7829	38	200	2	0.26470668	1	2.06026315789474	KCNJ16,GNG7
KEGG_P53_SIGNALING_PATHWAY	7829	69	200	3	0.26955438	1	1.70195652173913	CDK1,RRM2,CCNB2
KEGG_RENAL_CELL_CARCINOMA	7829	70	200	3	0.27632572	1	1.67764285714286	PAK7,JUN,FIGF
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	7829	12	200	1	0.28057104	1	3.26208333333333	FGF1
REACTOME_P2Y_RECEPTORS	7829	12	200	1	0.28057104	1	3.26208333333333	P2RY14
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	7829	12	200	1	0.28057104	1	3.26208333333333	CDK1
BIOCARTA_AKAP95_PATHWAY	7829	12	200	1	0.28057104	1	3.26208333333333	CDK1
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	7829	12	200	1	0.28057104	1	3.26208333333333	FGF1
KEGG_VIRAL_MYOCARDITIS	7829	73	200	3	0.29672246	1	1.60869863013699	DMD,MYH11,CAV1
BIOCARTA_RB_PATHWAY	7829	13	200	1	0.29855006	1	3.01115384615385	CDK1
BIOCARTA_D4GDI_PATHWAY	7829	13	200	1	0.29855006	1	3.01115384615385	JUN
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	7829	13	200	1	0.29855006	1	3.01115384615385	CAV1
BIOCARTA_ARENRF2_PATHWAY	7829	13	200	1	0.29855006	1	3.01115384615385	JUN
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	7829	14	200	1	0.31607759	1	2.79607142857143	SPRY2
REACTOME_SOS_MEDIATED_SIGNALLING	7829	14	200	1	0.31607759	1	2.79607142857143	CDK1
BIOCARTA_DREAM_PATHWAY	7829	14	200	1	0.31607759	1	2.79607142857143	JUN
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	7829	14	200	1	0.31607759	1	2.79607142857143	FGF1
REACTOME_ACTIVATION_OF_RAC	7829	14	200	1	0.31607759	1	2.79607142857143	PAK7
REACTOME_HYALURONAN_METABOLISM	7829	14	200	1	0.31607759	1	2.79607142857143	LYVE1
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	7829	14	200	1	0.31607759	1	2.79607142857143	DPYSL2
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	7829	77	200	3	0.32402028	1	1.52512987012987	CDK1,PELI2,JUN
REACTOME_G2_M_CHECKPOINTS	7829	45	200	2	0.32948610	1	1.73977777777778	CDK1,CCNB2
REACTOME_SIGNALING_BY_SCF_KIT	7829	78	200	3	0.33084759	1	1.50557692307692	KIT,CDK1,FOXO1
REACTOME_PLATELET_HOMEOSTASIS	7829	78	200	3	0.33084759	1	1.50557692307692	PDE2A,GNG7,KCNMB1
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	7829	15	200	1	0.33316502	1	2.60966666666667	CDK1
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	7829	15	200	1	0.33316502	1	2.60966666666667	CDK1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	7829	15	200	1	0.33316502	1	2.60966666666667	B3GNT1
REACTOME_SHC_MEDIATED_SIGNALLING	7829	15	200	1	0.33316502	1	2.60966666666667	CDK1
BIOCARTA_NUCLEARRS_PATHWAY	7829	15	200	1	0.33316502	1	2.60966666666667	ABCB1
BIOCARTA_HIF_PATHWAY	7829	15	200	1	0.33316502	1	2.60966666666667	JUN
BIOCARTA_AKAPCENTROSOME_PATHWAY	7829	15	200	1	0.33316502	1	2.60966666666667	CDK1
REACTOME_SIGNALING_BY_RHO_GTPASES	7829	113	200	4	0.33672318	1	1.38566371681416	ARHGAP19,RHOJ,FAM13A,ECT2
BIOCARTA_KERATINOCYTE_PATHWAY	7829	46	200	2	0.33863155	1	1.70195652173913	HOXA7,JUN
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	7829	46	200	2	0.33863155	1	1.70195652173913	CAV1,LPL
KEGG_PATHWAYS_IN_CANCER	7829	328	200	10	0.34249778	1	1.19344512195122	LAMB3,TCF7L2,KIT,RUNX1T1,FIGF,PDGFA,JUN,LAMA3,FGF1,FOXO1
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	7829	16	200	1	0.34982346	1	2.4465625	CFD
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	7829	16	200	1	0.34982346	1	2.4465625	MTHFD2
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	7829	16	200	1	0.34982346	1	2.4465625	P2RY14
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	7829	16	200	1	0.34982346	1	2.4465625	IGFBP6
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	7829	16	200	1	0.34982346	1	2.4465625	LPL
BIOCARTA_CDMAC_PATHWAY	7829	16	200	1	0.34982346	1	2.4465625	JUN
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	7829	16	200	1	0.34982346	1	2.4465625	FGF1
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	7829	83	200	3	0.36489509	1	1.41487951807229	CDK1,PELI2,JUN
KEGG_GLYCEROLIPID_METABOLISM	7829	49	200	2	0.36581240	1	1.59775510204082	PPAP2B,LPL
REACTOME_TIE2_SIGNALING	7829	17	200	1	0.36606374	1	2.30264705882353	ANGPT1
REACTOME_ARMS_MEDIATED_ACTIVATION	7829	17	200	1	0.36606374	1	2.30264705882353	CDK1
REACTOME_REGULATION_OF_KIT_SIGNALING	7829	17	200	1	0.36606374	1	2.30264705882353	KIT
REACTOME_SHC_RELATED_EVENTS	7829	17	200	1	0.36606374	1	2.30264705882353	CDK1
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	7829	17	200	1	0.36606374	1	2.30264705882353	SEMA6D
KEGG_RENIN_ANGIOTENSIN_SYSTEM	7829	17	200	1	0.36606374	1	2.30264705882353	MME
BIOCARTA_41BB_PATHWAY	7829	17	200	1	0.36606374	1	2.30264705882353	JUN
KEGG_ONE_CARBON_POOL_BY_FOLATE	7829	17	200	1	0.36606374	1	2.30264705882353	MTHFD2
KEGG_ECM_RECEPTOR_INTERACTION	7829	84	200	3	0.37167298	1	1.39803571428571	LAMA3,LAMB3,RELN
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	7829	50	200	2	0.37477579	1	1.5658	CDK1,JUN
KEGG_GLUTATHIONE_METABOLISM	7829	50	200	2	0.37477579	1	1.5658	RRM2,GSTM5
BIOCARTA_SPRY_PATHWAY	7829	18	200	1	0.38189639	1	2.17472222222222	SPRY2
BIOCARTA_NGF_PATHWAY	7829	18	200	1	0.38189639	1	2.17472222222222	JUN
BIOCARTA_ETS_PATHWAY	7829	18	200	1	0.38189639	1	2.17472222222222	JUN
REACTOME_L1CAM_INTERACTIONS	7829	86	200	3	0.38518240	1	1.36552325581395	SCN2A,SPTBN1,DPYSL2
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	7829	87	200	3	0.39191048	1	1.3498275862069	CDK1,FGF1,KL
REACTOME_GABA_RECEPTOR_ACTIVATION	7829	52	200	2	0.39253825	1	1.50557692307692	KCNJ16,GNG7
BIOCARTA_COMP_PATHWAY	7829	19	200	1	0.39733170	1	2.06026315789474	CFD
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	7829	19	200	1	0.39733170	1	2.06026315789474	RRM2
BIOCARTA_EPO_PATHWAY	7829	19	200	1	0.39733170	1	2.06026315789474	JUN
REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS	7829	19	200	1	0.39733170	1	2.06026315789474	CDK1
BIOCARTA_STATHMIN_PATHWAY	7829	19	200	1	0.39733170	1	2.06026315789474	CDK1
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	7829	19	200	1	0.39733170	1	2.06026315789474	GNG7
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	7829	19	200	1	0.39733170	1	2.06026315789474	TUBB2B
KEGG_HEMATOPOIETIC_CELL_LINEAGE	7829	88	200	3	0.39861860	1	1.33448863636364	KIT,MME,IL11RA
KEGG_PROSTATE_CANCER	7829	89	200	3	0.40530517	1	1.31949438202247	PDGFA,FOXO1,TCF7L2
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE	7829	54	200	2	0.41006302	1	1.44981481481481	FGF1,KL
KEGG_GAP_JUNCTION	7829	90	200	3	0.41196865	1	1.30483333333333	CDK1,PDGFA,TUBB2B
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	7829	20	200	1	0.41237969	1	1.95725	CDK1
REACTOME_ENOS_ACTIVATION_AND_REGULATION	7829	20	200	1	0.41237969	1	1.95725	CAV1
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY	7829	20	200	1	0.41237969	1	1.95725	SKI
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	7829	20	200	1	0.41237969	1	1.95725	GNG7
BIOCARTA_CCR5_PATHWAY	7829	20	200	1	0.41237969	1	1.95725	JUN
BIOCARTA_ATM_PATHWAY	7829	20	200	1	0.41237969	1	1.95725	JUN
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	7829	20	200	1	0.41237969	1	1.95725	FOXO1
REACTOME_NEPHRIN_INTERACTIONS	7829	20	200	1	0.41237969	1	1.95725	SPTBN1
KEGG_AXON_GUIDANCE	7829	129	200	4	0.42644452	1	1.2137984496124	DPYSL2,SEMA6D,PAK7,SEMA5A
BIOCARTA_IGF1_PATHWAY	7829	21	200	1	0.42705013	1	1.86404761904762	JUN
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	7829	21	200	1	0.42705013	1	1.86404761904762	GNG7
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	7829	56	200	2	0.42733021	1	1.39803571428571	CLDN11,CLDN5
REACTOME_ACTIVATED_TLR4_SIGNALLING	7829	93	200	3	0.43180596	1	1.26274193548387	CDK1,PELI2,JUN
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	7829	22	200	1	0.44135253	1	1.77931818181818	CDK1
BIOCARTA_IL2_PATHWAY	7829	22	200	1	0.44135253	1	1.77931818181818	JUN
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	7829	22	200	1	0.44135253	1	1.77931818181818	UBE2C
BIOCARTA_INSULIN_PATHWAY	7829	22	200	1	0.44135253	1	1.77931818181818	JUN
REACTOME_SIGNALING_BY_HIPPO	7829	22	200	1	0.44135253	1	1.77931818181818	SAV1
BIOCARTA_AKT_PATHWAY	7829	22	200	1	0.44135253	1	1.77931818181818	FOXO1
BIOCARTA_GCR_PATHWAY	7829	22	200	1	0.44135253	1	1.77931818181818	NR3C1
BIOCARTA_IL6_PATHWAY	7829	22	200	1	0.44135253	1	1.77931818181818	JUN
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	7829	22	200	1	0.44135253	1	1.77931818181818	TUBB2B
REACTOME_COLLAGEN_FORMATION	7829	58	200	2	0.44432250	1	1.3498275862069	LEPREL1,COL17A1
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	7829	95	200	3	0.44488950	1	1.23615789473684	CDK1,PDGFA,FOXO1
BIOCARTA_GLEEVEC_PATHWAY	7829	23	200	1	0.45529617	1	1.70195652173913	JUN
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	7829	23	200	1	0.45529617	1	1.70195652173913	GNG7
BIOCARTA_CELLCYCLE_PATHWAY	7829	23	200	1	0.45529617	1	1.70195652173913	CDK1
BIOCARTA_P53HYPOXIA_PATHWAY	7829	23	200	1	0.45529617	1	1.70195652173913	ABCB1
REACTOME_GLUTATHIONE_CONJUGATION	7829	23	200	1	0.45529617	1	1.70195652173913	GSTM5
REACTOME_POTASSIUM_CHANNELS	7829	98	200	3	0.46427758	1	1.19831632653061	GNG7,KCNJ16,KCNMB1
BIOCARTA_G2_PATHWAY	7829	24	200	1	0.46889010	1	1.63104166666667	CDK1
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	7829	24	200	1	0.46889010	1	1.63104166666667	UBE2C
REACTOME_SULFUR_AMINO_ACID_METABOLISM	7829	24	200	1	0.46889010	1	1.63104166666667	CDO1
BIOCARTA_NTHI_PATHWAY	7829	24	200	1	0.46889010	1	1.63104166666667	NR3C1
BIOCARTA_TPO_PATHWAY	7829	24	200	1	0.46889010	1	1.63104166666667	JUN
KEGG_COLORECTAL_CANCER	7829	62	200	2	0.47742469	1	1.26274193548387	JUN,TCF7L2
REACTOME_FANCONI_ANEMIA_PATHWAY	7829	25	200	1	0.48214312	1	1.5658	UBE2T
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	7829	25	200	1	0.48214312	1	1.5658	GNG7
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	7829	25	200	1	0.48214312	1	1.5658	GNG7
REACTOME_G0_AND_EARLY_G1	7829	25	200	1	0.48214312	1	1.5658	CDK1
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	7829	25	200	1	0.48214312	1	1.5658	GNG7
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	7829	25	200	1	0.48214312	1	1.5658	TF
REACTOME_EGFR_DOWNREGULATION	7829	25	200	1	0.48214312	1	1.5658	SPRY2
BIOCARTA_STRESS_PATHWAY	7829	25	200	1	0.48214312	1	1.5658	JUN
KEGG_MELANOGENESIS	7829	102	200	3	0.48963845	1	1.15132352941176	KIT,EDNRB,TCF7L2
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	7829	64	200	2	0.49351101	1	1.22328125	CDK1,SPTBN1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	7829	26	200	1	0.49506383	1	1.50557692307692	B3GNT1
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	7829	26	200	1	0.49506383	1	1.50557692307692	SEMA6D
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	7829	26	200	1	0.49506383	1	1.50557692307692	B3GNT1
BIOCARTA_BAD_PATHWAY	7829	26	200	1	0.49506383	1	1.50557692307692	KIT
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	7829	27	200	1	0.50766060	1	1.44981481481481	MYH11
REACTOME_RECYCLING_PATHWAY_OF_L1	7829	27	200	1	0.50766060	1	1.44981481481481	DPYSL2
REACTOME_SIGNALLING_TO_RAS	7829	27	200	1	0.50766060	1	1.44981481481481	CDK1
REACTOME_STRIATED_MUSCLE_CONTRACTION	7829	27	200	1	0.50766060	1	1.44981481481481	DMD
REACTOME_G_PROTEIN_ACTIVATION	7829	27	200	1	0.50766060	1	1.44981481481481	GNG7
BIOCARTA_EDG1_PATHWAY	7829	27	200	1	0.50766060	1	1.44981481481481	PDGFA
BIOCARTA_G1_PATHWAY	7829	28	200	1	0.51994159	1	1.39803571428571	CDK1
REACTOME_LIPOPROTEIN_METABOLISM	7829	28	200	1	0.51994159	1	1.39803571428571	LPL
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	7829	28	200	1	0.51994159	1	1.39803571428571	GNG7
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	7829	28	200	1	0.51994159	1	1.39803571428571	UBE2C
REACTOME_MYOGENESIS	7829	28	200	1	0.51994159	1	1.39803571428571	BOC
REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	7829	28	200	1	0.51994159	1	1.39803571428571	TUBB2B
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	7829	108	200	3	0.52650570	1	1.08736111111111	CDK1,FGF1,KL
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	7829	188	200	5	0.52952561	1	1.04109042553192	CCL21,CX3CL1,OXTR,EDNRB,CXCL2
KEGG_THYROID_CANCER	7829	29	200	1	0.53191475	1	1.3498275862069	TCF7L2
BIOCARTA_INFLAM_PATHWAY	7829	29	200	1	0.53191475	1	1.3498275862069	PDGFA
BIOCARTA_TNFR1_PATHWAY	7829	29	200	1	0.53191475	1	1.3498275862069	JUN
REACTOME_PIP3_ACTIVATES_AKT_SIGNALING	7829	29	200	1	0.53191475	1	1.3498275862069	FOXO1
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	7829	29	200	1	0.53191475	1	1.3498275862069	JUN
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	7829	109	200	3	0.53250287	1	1.07738532110092	CDK1,FOXO1,SPRY2
REACTOME_BASIGIN_INTERACTIONS	7829	30	200	1	0.54358785	1	1.30483333333333	CAV1
BIOCARTA_FAS_PATHWAY	7829	30	200	1	0.54358785	1	1.30483333333333	JUN
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	7829	30	200	1	0.54358785	1	1.30483333333333	B3GNT1
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	7829	30	200	1	0.54358785	1	1.30483333333333	JUN
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	7829	30	200	1	0.54358785	1	1.30483333333333	PAK7
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	7829	30	200	1	0.54358785	1	1.30483333333333	FGF1
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	7829	30	200	1	0.54358785	1	1.30483333333333	FOXO1
REACTOME_PI3K_CASCADE	7829	71	200	2	0.54722959	1	1.10267605633803	FGF1,KL
KEGG_MELANOMA	7829	71	200	2	0.54722959	1	1.10267605633803	PDGFA,FGF1
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	7829	72	200	2	0.55456617	1	1.08736111111111	CDK1,JUN
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	7829	72	200	2	0.55456617	1	1.08736111111111	LPL,EBF1
BIOCARTA_EGF_PATHWAY	7829	31	200	1	0.55496842	1	1.26274193548387	JUN
