GeneSet_des	Ori_p	Adj_p	gsSize	gsSize_net	intSize	intSize_net	OverlapSize	InterestingGeneListID	Essential overlapped genes (sorted by weight)	Essential neighbor genes (sorted by weight)
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	9.5e-08	7.9e-06	132	99	170	151	0	GSE10780	KIF2C,KIF20A	CCNB1,SMC4,LMNB1,WHSC1,NUSAP1,PBK,ATAD2,TTK,TRIP13,ZWILCH,SGOL2,MELK,SHCBP1,CENPA,CKAP2,ANLN,CEP55,INTS7,UBE2C,CDKN3,BTAF1,CDCA8,CDCA3,DUT,EXO1,RPL14,MTDH,RPS3A,STX6,RPL11,GTF2I,PSMD14,PSMA7,HJURP,RMI2,NAB1,DMD,VAPB,LHFPL2,GLB1,ITM2A,EBF1,DHRS13,CBX7,ALKBH2,FOXN3,GPRASP1,EFHA2,GPRASP2,FAM13A,KIAA1751,E2F1,GLT8D2,CHI3L1,CABP7,CBFA2T3,PEAR1,ODZ2,NKX6-1,IL25,PNMAL1,CXCL14,CSRNP3,C19orf21,FIGF,HOXA5,HOXA7
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	1.1e-07	8e-06	14	7	170	151	0	GSE10780	E2F1	KIF2C,UBE2C,DUT,SMC4,CCNB1,EXO1,PBK,SHCBP1,LMNB1,TRIP13,NUSAP1,CDCA3,CENPA,CDKN3,CEP55,MELK,TTK,WHSC1,KIF20A,SGOL2,CDCA8,ZWILCH,ATAD2,INTS7,CKAP2,BTAF1,RPL14,PSMD14,TWISTNB,ANLN,RPS3A,GLTSCR2,PSMA7,RPL11,MTDH,MRPL14,ALKBH2,GTF2I,DMD,NAB1
REACTOME_G2_M_CHECKPOINTS	1.1e-07	8e-06	45	30	170	151	2	GSE10780	CCNB1	TRIP13,ATAD2,WHSC1,INTS7,ZWILCH,SMC4,PBK,KIF2C,CKAP2,NUSAP1,KIF20A,MELK,SHCBP1,DUT,TTK,CENPA,SGOL2,LMNB1,CDCA3,BTAF1,CDKN3,CDCA8,UBE2C,CEP55,PSMD14,RPL14,EXO1,ANLN,RPS3A,RPL11,PSMA7,TWISTNB,GLTSCR2,RMI2,GTF2I,ALKBH2,DHRS13,HJURP,CCNB1IP1,ABCB1,TMEM206,MTDH,ICMT,MRPL14,AMIGO2,RCSD1
REACTOME_PYRIMIDINE_METABOLISM	2e-07	1.3e-05	24	20	170	151	0	GSE10780	DUT	WHSC1,TRIP13,CCNB1,INTS7,SMC4,MELK,PBK,ZWILCH,TTK,NUSAP1,KIF20A,CENPA,SHCBP1,EXO1,UBE2C,ATAD2,KIF2C,LMNB1,CDCA3,CKAP2,PSMA7,SGOL2,RPL14,CDCA8,RPS3A,RPL11,CEP55,CDKN3,TWISTNB,PSMD14,BTAF1,DHRS13,GLTSCR2,ANLN,GTF2I,TMEM206,ALKBH2,ACOT12,GPC3,MOCS1,DENND2A,KIAA1751
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	2.3e-07	1.3e-05	15	14	170	151	0	GSE10780		CCNB1,SMC4,TRIP13,PBK,WHSC1,INTS7,KIF2C,CENPA,ATAD2,SHCBP1,ZWILCH,LMNB1,NUSAP1,KIF20A,DUT,SGOL2,CDCA8,TTK,MELK,CKAP2,RPL14,BTAF1,EXO1,CDCA3,UBE2C,CEP55,PSMD14,CDKN3,RPS3A,RPL11,PSMA7,ANLN,GLTSCR2,DHRS13,GTF2I,TWISTNB,RMI2,ALKBH2,MTDH,MME,TMEM206,MOCS1
KEGG_CELL_CYCLE	2.4e-07	1.3e-05	128	103	170	151	3	GSE10780	CCNB1,TTK,E2F1	SMC4,PBK,ATAD2,WHSC1,TRIP13,KIF2C,ZWILCH,CKAP2,NUSAP1,MELK,KIF20A,INTS7,SHCBP1,SGOL2,UBE2C,DUT,LMNB1,CENPA,CEP55,CDCA8,BTAF1,CDCA3,RPL14,PSMD14,CDKN3,EXO1,RPS3A,ANLN,RPL11,PSMA7,TWISTNB,GTF2I,GLTSCR2,MTDH,HJURP,RMI2,MRPL14,ALKBH2,STX6,TMEM206,ABCB1,DHRS13,CCNB1IP1,AMIGO2,NAB1,EFHA2,CBX7,ICMT,GLB1,MME,RCSD1,CAPN6,FOXN3,LSM14B,PTTG3P,CRYAB,ODZ2,ITM2A,FIGF,TCF7L1,GLT8D2,C5orf4,EGF,PDGFD,MAMDC2,TGFBR3,CHI3L1,SEMA5A,LAMA3,EDNRB,LIFR,KRT15,PALMD,DMKN,RGMA
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	2.4e-07	1.3e-05	38	26	170	151	0	GSE10780		TRIP13,CCNB1,WHSC1,ATAD2,ZWILCH,SMC4,INTS7,PBK,KIF2C,KIF20A,CKAP2,NUSAP1,SHCBP1,MELK,CENPA,TTK,LMNB1,DUT,BTAF1,CDCA3,SGOL2,CDKN3,CDCA8,UBE2C,PSMD14,CEP55,RPL14,EXO1,RPS3A,ANLN,RPL11,TWISTNB,PSMA7,GLTSCR2,GTF2I,RMI2,ALKBH2,DHRS13,MTDH,TMEM206,MRPL14,ABCB1,RCSD1
REACTOME_LAGGING_STRAND_SYNTHESIS	2.5e-07	1.3e-05	19	18	170	151	0	GSE10780		CCNB1,SMC4,TRIP13,PBK,WHSC1,KIF2C,CENPA,INTS7,ATAD2,SHCBP1,ZWILCH,NUSAP1,KIF20A,TTK,MELK,LMNB1,DUT,CKAP2,SGOL2,RPL14,CDCA8,BTAF1,CDCA3,UBE2C,PSMD14,CEP55,CDKN3,EXO1,RPL11,RPS3A,PSMA7,ANLN,GLTSCR2,GTF2I,TWISTNB,ALKBH2,DHRS13,RMI2,MME,TMEM206,MOCS1
REACTOME_FANCONI_ANEMIA_PATHWAY	3.7e-07	1.9e-05	25	19	170	151	1	GSE10780		ATAD2,ZWILCH,SMC4,INTS7,SGOL2,WHSC1,NUSAP1,KIF2C,CCNB1,CEP55,PBK,TRIP13,BTAF1,TTK,KIF20A,DUT,CDKN3,EXO1,MELK,SHCBP1,CKAP2,CDCA3,CENPA,CDCA8,UBE2C,TWISTNB,LMNB1,RPL14,RPS3A,PSMA7,ANLN,MTDH,GTF2I,GLTSCR2,RPL11,ABCB1,TMEM206,MRPL14,ALKBH2,KIAA1751,AMIGO2,RMI2,NAB1
REACTOME_CELL_CYCLE_MITOTIC	4e-07	1.9e-05	325	257	170	151	5	GSE10780	CCNB1,KIF2C,ZWILCH,KIF20A,SGOL2,CENPA,PSMD14,CDCA8,UBE2C,PSMA7,E2F1	SMC4,WHSC1,ATAD2,TRIP13,CKAP2,PBK,NUSAP1,INTS7,TTK,DUT,SHCBP1,MELK,CEP55,LMNB1,CDCA3,RPL14,BTAF1,CDKN3,EXO1,RPS3A,ANLN,GTF2I,RPL11,TWISTNB,MTDH,GLTSCR2,HJURP,MRPL14,RMI2,STX6,ALKBH2,TMEM206,DHRS13,CCNB1IP1,PPME1,ICMT,CBX7,ABCB1,AMIGO2,NAB1,EFHA2,MME,LSM14B,CAPN6,RCSD1,PTTG3P,FOXN3,C5orf4,TBCEL
REACTOME_DNA_REPLICATION	4.1e-07	1.9e-05	192	165	170	151	1	GSE10780	ZWILCH,KIF2C,CENPA,SGOL2,KIF20A,PSMD14,CDCA8,PSMA7,E2F1	CCNB1,SMC4,ATAD2,TRIP13,WHSC1,PBK,DUT,NUSAP1,CKAP2,SHCBP1,INTS7,TTK,MELK,CDCA3,LMNB1,CDKN3,CEP55,UBE2C,RPL14,BTAF1,EXO1,RPS3A,ANLN,GTF2I,RPL11,HJURP,TWISTNB,GLTSCR2,MTDH,MRPL14,RMI2,ALKBH2,STX6,DHRS13,TMEM206,PPME1,ICMT,NAB1,RCSD1,MME,AMIGO2,LHFPL2,LSM14B,CAPN6,PTTG3P,FOXN3,C5orf4,TBCEL
REACTOME_CHROMOSOME_MAINTENANCE	4.6e-07	2e-05	122	86	170	151	0	GSE10780	CENPA,LMNB1,HJURP	CCNB1,ZWILCH,DUT,SMC4,KIF2C,ATAD2,WHSC1,RPL14,SGOL2,NUSAP1,PBK,TRIP13,RPS3A,CKAP2,KIF20A,INTS7,CDCA8,SHCBP1,TTK,RPL11,MELK,BTAF1,CEP55,CDCA3,PSMD14,CDKN3,UBE2C,EXO1,PSMA7,GTF2I,GLTSCR2,ANLN,TWISTNB,MTDH,DHRS13,MRPL14,ALKBH2,CBX7,RMI2,MME,ABCB1,TMEM206,NAB1,NKX6-1,PTTG3P,MOCS1,NAV2,CDC42EP5
BIOCARTA_RB_PATHWAY	4.7e-07	2e-05	13	11	170	151	1	GSE10780		NUSAP1,CCNB1,PBK,ATAD2,SMC4,MELK,INTS7,ZWILCH,CKAP2,WHSC1,SHCBP1,TTK,CEP55,SGOL2,KIF20A,TRIP13,LMNB1,UBE2C,CENPA,CDCA3,CDCA8,KIF2C,EXO1,CDKN3,DUT,RPL14,ANLN,RPS3A,MTDH,RPL11,PSMD14,GLTSCR2,TWISTNB,GTF2I,BTAF1,PSMA7,TMEM206,ABCB1,ALKBH2,DNAJC3,STX6,AMIGO2,E2F1
KEGG_DNA_REPLICATION	5e-07	2.1e-05	36	32	170	151	0	GSE10780		CCNB1,TRIP13,INTS7,SMC4,WHSC1,ATAD2,DUT,KIF2C,PBK,ZWILCH,SHCBP1,KIF20A,BTAF1,NUSAP1,MELK,RPL14,CKAP2,CENPA,TTK,LMNB1,SGOL2,CDCA3,CDCA8,CDKN3,UBE2C,PSMD14,CEP55,RPL11,EXO1,RPS3A,PSMA7,GLTSCR2,ANLN,TWISTNB,GTF2I,RMI2,ALKBH2,DHRS13,MRPL14,MTDH,ABCB1,MME,RCSD1,TMEM206,AMIGO2,MOCS1
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	5.3e-07	2.1e-05	12	7	170	151	1	GSE10780	CCNB1	SGOL2,ATAD2,INTS7,SMC4,MELK,ZWILCH,WHSC1,CEP55,CKAP2,NUSAP1,KIF2C,CDCA3,TTK,PBK,SHCBP1,CDCA8,CDKN3,CENPA,DUT,KIF20A,TRIP13,EXO1,UBE2C,LMNB1,ANLN,BTAF1,RPS3A,TWISTNB,PSMD14,RPL14,RPL11,HJURP,CCNB1IP1,ABCB1,GLTSCR2,AMIGO2,PSMA7,ICMT,TMEM206,RMI2,DHRS13
BIOCARTA_PTC1_PATHWAY	5.5e-07	2.1e-05	11	10	170	151	1	GSE10780	CCNB1	SMC4,TRIP13,MELK,ATAD2,TTK,PBK,ZWILCH,WHSC1,NUSAP1,LMNB1,INTS7,SHCBP1,UBE2C,CEP55,KIF2C,EXO1,PSMD14,KIF20A,CKAP2,CDCA3,RPS3A,RPL14,CDKN3,SGOL2,CDCA8,CENPA,BTAF1,ANLN,PSMA7,DUT,RPL11,HJURP,TWISTNB,CCNB1IP1,GTF2I,MTDH,GLTSCR2,AMIGO2,ICMT,RMI2,EFHA2,DHRS13,DMD,GPRASP1
REACTOME_POL_SWITCHING	7.1e-07	2.6e-05	13	12	170	151	0	GSE10780		CCNB1,SMC4,TRIP13,PBK,WHSC1,CENPA,KIF2C,INTS7,SHCBP1,ATAD2,ZWILCH,TTK,RPL14,DUT,NUSAP1,MELK,BTAF1,KIF20A,SGOL2,CKAP2,CDCA8,CDCA3,LMNB1,UBE2C,PSMD14,CDKN3,CEP55,RPL11,EXO1,RPS3A,PSMA7,ANLN,GTF2I,GLTSCR2,TWISTNB,ALKBH2,RMI2,MTDH,DHRS13,MME,TMEM206
REACTOME_CELL_CYCLE	8.7e-07	3.1e-05	421	320	170	151	5	GSE10780	CCNB1,ZWILCH,KIF2C,KIF20A,SGOL2,CENPA,PSMD14,CDCA8,LMNB1,UBE2C,PSMA7,HJURP,E2F1	SMC4,WHSC1,ATAD2,TRIP13,CKAP2,DUT,INTS7,PBK,NUSAP1,TTK,SHCBP1,RPL14,MELK,CEP55,BTAF1,CDCA3,CDKN3,RPS3A,EXO1,RPL11,GTF2I,ANLN,MTDH,GLTSCR2,TWISTNB,MRPL14,RMI2,ALKBH2,STX6,DHRS13,TMEM206,ABCB1,CBX7,CCNB1IP1,PPME1,MME,ICMT,AMIGO2,NAB1,EFHA2,LSM14B,CAPN6,RCSD1,PTTG3P,NKX6-1,NAV2,FOXN3,C5orf4,TBCEL,CDC42EP5
KEGG_HOMOLOGOUS_RECOMBINATION	9.7e-07	3.4e-05	28	23	170	151	0	GSE10780		CCNB1,TRIP13,SMC4,ATAD2,WHSC1,INTS7,ZWILCH,PBK,KIF2C,SGOL2,CENPA,SHCBP1,BTAF1,CKAP2,TTK,NUSAP1,DUT,KIF20A,EXO1,CEP55,LMNB1,CDKN3,PSMD14,CDCA8,RPL14,MELK,CDCA3,PSMA7,UBE2C,RPL11,RPS3A,TWISTNB,GTF2I,ANLN,GLTSCR2,MTDH,MRPL14,DHRS13,ALKBH2,RMI2,ABCB1,TMEM206
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	1e-06	3.4e-05	17	16	170	151	0	GSE10780		ATAD2,ZWILCH,CCNB1,SMC4,SGOL2,WHSC1,PBK,TRIP13,CENPA,KIF2C,INTS7,BTAF1,CKAP2,SHCBP1,CEP55,NUSAP1,KIF20A,TTK,DUT,RPL14,CDCA8,LMNB1,MELK,PSMD14,CDCA3,CDKN3,EXO1,UBE2C,ANLN,GTF2I,RPS3A,RPL11,PSMA7,DHRS13,ABCB1,TWISTNB,GLTSCR2,RMI2,MRPL14,ALKBH2,AMIGO2,TMEM206,HJURP
BIOCARTA_RANMS_PATHWAY	1.1e-06	3.6e-05	10	7	170	151	1	GSE10780		CCNB1,WHSC1,KIF2C,ZWILCH,SMC4,KIF20A,MELK,CENPA,TRIP13,INTS7,LMNB1,CKAP2,DUT,PBK,TTK,NUSAP1,SHCBP1,CDCA8,ATAD2,CEP55,CDCA3,SGOL2,CDKN3,RPL11,RPL14,PSMA7,UBE2C,PSMD14,EXO1,ANLN,BTAF1,RPS3A,MTDH,GTF2I,TWISTNB,STX6,HJURP,NAB1,MRPL14,MME,TMEM206,ALKBH2
REACTOME_MITOTIC_M_M_G1_PHASES	1.1e-06	3.5e-05	172	147	170	151	1	GSE10780	ZWILCH,KIF2C,SGOL2,CENPA,PSMD14,KIF20A,CDCA8,PSMA7,E2F1	CCNB1,SMC4,ATAD2,TRIP13,WHSC1,DUT,PBK,CKAP2,NUSAP1,INTS7,TTK,SHCBP1,MELK,LMNB1,CDCA3,CEP55,CDKN3,RPL14,UBE2C,BTAF1,EXO1,RPS3A,ANLN,GTF2I,RPL11,HJURP,MTDH,TWISTNB,GLTSCR2,MRPL14,RMI2,STX6,ALKBH2,DHRS13,TMEM206,PPME1,ICMT,ABCB1,NAB1,AMIGO2,RCSD1,LHFPL2,LSM14B,CAPN6,PTTG3P,C5orf4,FOXN3,TBCEL,DBNL
REACTOME_G0_AND_EARLY_G1	1.4e-06	4.3e-05	25	18	170	151	1	GSE10780	E2F1	SMC4,CCNB1,TRIP13,PBK,ATAD2,WHSC1,KIF2C,ZWILCH,TTK,NUSAP1,KIF20A,SHCBP1,CDCA8,LMNB1,SGOL2,CKAP2,MELK,INTS7,CENPA,CEP55,CDCA3,BTAF1,DUT,CDKN3,UBE2C,EXO1,ANLN,RPL14,PSMD14,RPS3A,RPL11,PSMA7,GTF2I,GLTSCR2,MTDH,TWISTNB,CBX7,RMI2,TMEM206,MRPL14,MME,DHRS13
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	1.8e-06	5.3e-05	10	8	170	151	1	GSE10780	CCNB1	CKAP2,SMC4,NUSAP1,WHSC1,INTS7,KIF20A,GTF2I,KIF2C,BTAF1,CEP55,ZWILCH,TRIP13,TTK,LMNB1,PSMA7,CENPA,ATAD2,CDCA8,PSMD14,DUT,SGOL2,CDKN3,ANLN,PBK,UBE2C,SHCBP1,CDCA3,HJURP,RPS3A,RPL14,DHRS13,EXO1,MELK,CCNB1IP1,RPL11,GLB1,ICMT,AMIGO2,RMI2
REACTOME_EXTENSION_OF_TELOMERES	2.3e-06	6.8e-05	27	24	170	151	0	GSE10780		CCNB1,SMC4,TRIP13,PBK,WHSC1,ATAD2,ZWILCH,CENPA,INTS7,NUSAP1,SHCBP1,KIF2C,KIF20A,DUT,LMNB1,RPL14,MELK,TTK,SGOL2,CKAP2,BTAF1,CDCA3,CDCA8,PSMD14,RPL11,CEP55,UBE2C,RPS3A,CDKN3,EXO1,PSMA7,GLTSCR2,GTF2I,ANLN,TWISTNB,MTDH,ALKBH2,DHRS13,RMI2,MRPL14,MME,TMEM206,MOCS1
KEGG_BASE_EXCISION_REPAIR	2.9e-06	8.2e-05	35	28	170	151	0	GSE10780		INTS7,WHSC1,SMC4,ATAD2,CCNB1,TRIP13,ZWILCH,NUSAP1,DUT,PBK,RPL14,BTAF1,SHCBP1,CKAP2,KIF20A,PSMD14,SGOL2,LMNB1,KIF2C,CENPA,MELK,TTK,CDCA8,CEP55,PSMA7,GLTSCR2,EXO1,CDCA3,CDKN3,RPL11,UBE2C,GTF2I,TWISTNB,RPS3A,ANLN,MTDH,MRPL14,DHRS13,RMI2,E2F1,ALKBH2,MME,TMEM206,MOCS1
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	3.3e-06	9.1e-05	10	10	170	151	0	GSE10780		CCNB1,SMC4,TRIP13,WHSC1,PBK,INTS7,ATAD2,SHCBP1,KIF2C,ZWILCH,CENPA,NUSAP1,KIF20A,LMNB1,PSMD14,DUT,RPL14,CKAP2,RPL11,BTAF1,PSMA7,SGOL2,CDCA8,EXO1,TTK,MELK,CDCA3,UBE2C,GLTSCR2,RPS3A,CEP55,CDKN3,GTF2I,ANLN,DHRS13,TWISTNB,MTDH,RMI2,MME,MRPL14,ALKBH2,TMEM206,MOCS1
REACTOME_MITOTIC_G2_G2_M_PHASES	4.1e-06	0.00011	81	58	170	151	2	GSE10780	CCNB1,E2F1	CKAP2,SMC4,WHSC1,KIF2C,ATAD2,CEP55,NUSAP1,ZWILCH,INTS7,TRIP13,TTK,KIF20A,DUT,BTAF1,PSMD14,PBK,GTF2I,RPL14,MELK,CDCA8,PSMA7,SHCBP1,LMNB1,CDCA3,UBE2C,CDKN3,SGOL2,CENPA,RPS3A,ANLN,EXO1,RPL11,TWISTNB,MTDH,STX6,HJURP,GLB1,DHRS13,CCNB1IP1,EFHA2,RMI2,TMEM206,NAB1,ICMT,MRPL14,CRYAB,LHFPL2,AMIGO2,ABCB1,GPRASP1,LSM14B,KRT15,PPME1,NAV2,DBNL,MME
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	8.7e-06	0.00023	14	13	170	151	0	GSE10780		CCNB1,SMC4,TRIP13,PBK,WHSC1,INTS7,ATAD2,KIF2C,CENPA,SHCBP1,PSMD14,ZWILCH,BTAF1,NUSAP1,RPL14,DUT,CKAP2,KIF20A,TTK,RPL11,SGOL2,MELK,LMNB1,CDCA3,PSMA7,CDCA8,RPS3A,CDKN3,UBE2C,CEP55,GTF2I,GLTSCR2,TWISTNB,EXO1,ANLN,ALKBH2,DHRS13,RMI2,MTDH,MME,TMEM206
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	1.2e-05	0.00032	24	20	170	151	0	GSE10780		ZWILCH,ATAD2,SMC4,CCNB1,WHSC1,PBK,SGOL2,TRIP13,INTS7,CENPA,KIF2C,BTAF1,CKAP2,SHCBP1,DUT,CEP55,NUSAP1,TTK,RPL14,KIF20A,PSMD14,LMNB1,CDCA8,MELK,CDCA3,CDKN3,EXO1,UBE2C,ANLN,RPS3A,PSMA7,RPL11,GTF2I,DHRS13,ABCB1,TWISTNB,GLTSCR2,MTDH,RMI2,ALKBH2,AMIGO2,TMEM206,HJURP,MME
