GeneSet_des	Ori_p	Adj_p	gsSize	gsSize_net	intSize	intSize_net	OverlapSize	Essential overlapped genes (sorted by weight)	Essential neighbor genes (sorted by weight)
REACTOME_DNA_STRAND_ELONGATION	7.6e-08	7.1e-06	30	25	170	151	0		CCNB2,ASF1B,PRC1,TOP2A,DTL,WHSC1,KIAA0101,DCTPP1,SMC4,NUSAP1,ARHGAP19,CKAP2,UBE2T,ECT2,UBE2C,CDKN3,ZWINT,GLTSCR2,MTHFD2,JUN,SPTBN1,EZH1,RABIF,ABCB1,MME,METTL7A,MOCS1
REACTOME_MITOTIC_PROMETAPHASE	7.9e-08	7.1e-06	87	80	170	151	1	ZWINT	SMC4,WHSC1,TOP2A,CCNB2,PRC1,CKAP2,DTL,ASF1B,NUSAP1,KIAA0101,ECT2,CDKN3,UBE2T,UBE2C,DCTPP1,ARHGAP19,GLTSCR2,ADD3,RABIF,MTHFD2,NR3C1,DPYSL2,SPTBN1,EZH1,JUN,SKI,ACTG2,GPM6B,C2orf68,SAV1,FOXO1,KIT,CAV2,BOC,CAPN6,SPRY2,ODZ2,CBX7,EFHA2,FOXN3
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	9.5e-08	7.9e-06	132	99	170	151	0		SMC4,PRC1,ASF1B,CCNB2,TOP2A,WHSC1,NUSAP1,DTL,KIAA0101,CKAP2,ZWINT,ECT2,UBE2C,CDKN3,UBE2T,ARHGAP19,DCTPP1,SPTBN1,DPYSL2,MTHFD2,ADD3,NR3C1,RABIF,SKI,ACTG2,JUN,EZH1,C2orf68,TCF7L2,GPM6B,B3GNT1,TF,EHBP1,SEMA6D,PAK7,KIT,DMD,NDN,THRA,CAV2,TLN2,PDLIM4,TP63,ITM2A,EBF1,SPRY2,LPHN3,CRTAC1,SDPR,NPR1,CBX7,FOXN3,CHL1,LARP6,GPRASP1,EFHA2,FAM13A,FOXO1,RBMS3,PEAR1,ODZ2,PDE2A,CSRNP3,IGFBP6,CAV1,ITIH5,FIGF,CNN1,HOXA5,HOXA7,LEPREL1
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	1.1e-07	8e-06	14	7	170	151	0		UBE2C,TOP2A,SMC4,PRC1,ASF1B,CCNB2,NUSAP1,UBE2T,CDKN3,KIAA0101,WHSC1,ZWINT,DTL,DCTPP1,ECT2,CKAP2,ARHGAP19,MTHFD2,GLTSCR2,TF,EZH1,ACTG2,DPYSL2,SPTBN1,DMD,ADD3
REACTOME_G2_M_CHECKPOINTS	1.1e-07	8e-06	45	30	170	151	2	CCNB2	WHSC1,ASF1B,SMC4,DTL,PRC1,CKAP2,NUSAP1,KIAA0101,TOP2A,DCTPP1,UBE2T,ECT2,CDKN3,ARHGAP19,UBE2C,ZWINT,MTHFD2,GLTSCR2,JUN,EZH1,RABIF,ABCB1,KIT,SAV1,C2orf68,FOXO1
REACTOME_PYRIMIDINE_METABOLISM	2e-07	1.3e-05	24	20	170	151	0		DCTPP1,CCNB2,WHSC1,ASF1B,DTL,SMC4,TOP2A,PRC1,NUSAP1,KIAA0101,UBE2C,CKAP2,ARHGAP19,ZWINT,ECT2,UBE2T,CDKN3,GLTSCR2,SKI,MTHFD2,TNS4,MOCS1,ABCA6,DENND2A
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	2.3e-07	1.3e-05	15	14	170	151	0		TOP2A,CCNB2,SMC4,ASF1B,PRC1,WHSC1,DTL,DCTPP1,NUSAP1,ARHGAP19,KIAA0101,CKAP2,UBE2T,ECT2,UBE2C,CDKN3,ZWINT,GLTSCR2,MTHFD2,RABIF,MME,EZH1,METTL7A,MOCS1
KEGG_CELL_CYCLE	2.4e-07	1.3e-05	128	103	170	151	3	CCNB2	SMC4,DTL,TOP2A,PRC1,WHSC1,ASF1B,CKAP2,NUSAP1,UBE2C,ECT2,KIAA0101,DCTPP1,ZWINT,UBE2T,ARHGAP19,CDKN3,GLTSCR2,MTHFD2,SPTBN1,ADD3,JUN,EZH1,SKI,RABIF,NR3C1,DPYSL2,ABCB1,FOXO1,CAV1,C2orf68,KIT,TF,SAV1,EFHA2,CBX7,TCF7L2,MME,SPRY2,C3orf64,CAPN6,FOXN3,PDLIM4,CRYAB,ODZ2,NPR1,BOC,CHL1,PDGFA,ITM2A,FIGF,ADAMTS5,C5orf4,RHOJ,MATN2,ETV5,MAMDC2,SEMA5A,LAMA3,EDNRB,LIFR,PALMD,RGMA
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	2.4e-07	1.3e-05	38	26	170	151	0		CCNB2,ASF1B,WHSC1,SMC4,DTL,PRC1,CKAP2,NUSAP1,TOP2A,DCTPP1,KIAA0101,UBE2T,ECT2,ARHGAP19,CDKN3,UBE2C,ZWINT,MTHFD2,GLTSCR2,JUN,RABIF,EZH1,SAV1,ABCB1,C2orf68
REACTOME_LAGGING_STRAND_SYNTHESIS	2.5e-07	1.3e-05	19	18	170	151	0		CCNB2,ASF1B,PRC1,SMC4,TOP2A,WHSC1,DTL,DCTPP1,NUSAP1,ARHGAP19,KIAA0101,CKAP2,UBE2T,ECT2,UBE2C,CDKN3,ZWINT,GLTSCR2,MTHFD2,SPTBN1,RABIF,MME,EZH1,METTL7A,MOCS1
REACTOME_FANCONI_ANEMIA_PATHWAY	3.7e-07	1.9e-05	25	19	170	151	1	UBE2T	CCNB2,TOP2A,SMC4,DTL,WHSC1,NUSAP1,ASF1B,ECT2,KIAA0101,CDKN3,PRC1,CKAP2,ARHGAP19,UBE2C,DCTPP1,ZWINT,GLTSCR2,SAV1,ABCB1,JUN,TLN2,PDLIM4,TF,ACTG2,EZH1,DPYSL2,TNS4
REACTOME_CELL_CYCLE_MITOTIC	4e-07	1.9e-05	325	257	170	151	5	CCNB2,ZWINT,UBE2C	SMC4,TOP2A,PRC1,WHSC1,DTL,CKAP2,NUSAP1,ASF1B,KIAA0101,DCTPP1,ECT2,UBE2T,CDKN3,ARHGAP19,RABIF,MTHFD2,GLTSCR2,SPTBN1,ADD3,JUN,DPYSL2,EZH1,NR3C1,KIT,ACTG2,SKI,C2orf68,SPRY2,CBX7,ABCB1,SAV1,FOXO1,EHBP1,EFHA2,MME,CAPN6,FOXN3,C5orf4,SDPR
REACTOME_DNA_REPLICATION	4.1e-07	1.9e-05	192	165	170	151	1	ZWINT	SMC4,CCNB2,TOP2A,PRC1,WHSC1,ASF1B,DTL,NUSAP1,CKAP2,KIAA0101,DCTPP1,ECT2,UBE2T,CDKN3,UBE2C,ARHGAP19,RABIF,GLTSCR2,MTHFD2,ADD3,JUN,NR3C1,DPYSL2,EZH1,SPTBN1,SKI,C2orf68,SAV1,MME,EHBP1,CAPN6,SPRY2,FOXN3,C5orf4
BIOCARTA_RB_PATHWAY	4.7e-07	2.1e-05	13	11	170	151	1		NUSAP1,SMC4,TOP2A,CKAP2,CCNB2,WHSC1,PRC1,ASF1B,DTL,DCTPP1,ECT2,UBE2C,KIAA0101,UBE2T,CDKN3,ZWINT,SPTBN1,KIT,GLTSCR2,ARHGAP19,MTHFD2,EZH1,ABCB1,SAV1,PAK7,RABIF,NR3C1,SKI,TLN2,FOXO1,JUN,DPYSL2,PDLIM4
KEGG_DNA_REPLICATION	5e-07	2.1e-05	36	32	170	151	0		CCNB2,ASF1B,DCTPP1,SMC4,WHSC1,DTL,PRC1,TOP2A,KIAA0101,ARHGAP19,NUSAP1,CKAP2,UBE2T,ECT2,CDKN3,UBE2C,ZWINT,GLTSCR2,MTHFD2,SPTBN1,JUN,RABIF,EZH1,ABCB1,TF,MME,METTL7A,MOCS1
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	5.3e-07	2.2e-05	12	7	170	151	1		SMC4,WHSC1,TOP2A,CKAP2,NUSAP1,PRC1,KIAA0101,CCNB2,CDKN3,UBE2T,ECT2,DTL,ZWINT,DCTPP1,ASF1B,UBE2C,ARHGAP19,MTHFD2,KIT,ABCB1,GLTSCR2,SAV1,TLN2,FOXO1,JUN,PDLIM4
BIOCARTA_PTC1_PATHWAY	5.5e-07	2.2e-05	11	10	170	151	1		SMC4,CCNB2,TOP2A,DTL,ECT2,DCTPP1,WHSC1,NUSAP1,PRC1,ASF1B,UBE2C,CKAP2,ZWINT,KIAA0101,ARHGAP19,CDKN3,UBE2T,MTHFD2,EZH1,RABIF,GLTSCR2,SPTBN1,TCF7L2,PAK7,EFHA2,ACTG2,C3orf64,KIT,DMD,GPRASP1
REACTOME_CHROMOSOME_MAINTENANCE	6.5e-07	2.5e-05	122	86	170	151	0		CCNB2,TOP2A,ASF1B,SMC4,PRC1,WHSC1,NUSAP1,DTL,CKAP2,KIAA0101,ECT2,DCTPP1,ARHGAP19,ZWINT,UBE2T,CDKN3,UBE2C,ACTG2,GLTSCR2,MTHFD2,SPTBN1,JUN,ADD3,TCF7L2,RABIF,CBX7,EZH1,TP63,MME,ABCB1,SAV1,NPR1,CAV1,C2orf68,SEMA6D,METTL7A,RHOJ,TNS4,PDLIM4,C3orf64,MOCS1,CAV2,IGFBP6
REACTOME_POL_SWITCHING	7.1e-07	2.6e-05	13	12	170	151	0		CCNB2,SMC4,TOP2A,ASF1B,PRC1,WHSC1,DCTPP1,DTL,ARHGAP19,KIAA0101,UBE2T,NUSAP1,ECT2,CKAP2,UBE2C,CDKN3,ZWINT,MTHFD2,GLTSCR2,SPTBN1,MME,RABIF,METTL7A
REACTOME_CELL_CYCLE	8.7e-07	3.1e-05	421	320	170	151	5	CCNB2,ZWINT,UBE2C	SMC4,TOP2A,PRC1,WHSC1,DTL,CKAP2,ASF1B,NUSAP1,DCTPP1,KIAA0101,ECT2,UBE2T,CDKN3,ARHGAP19,GLTSCR2,MTHFD2,RABIF,ACTG2,SPTBN1,JUN,ADD3,EZH1,DPYSL2,NR3C1,KIT,ABCB1,TCF7L2,C2orf68,CBX7,SAV1,SKI,MME,SPRY2,EFHA2,EHBP1,CAPN6,TP63,FOXN3,SDPR,C5orf4
KEGG_HOMOLOGOUS_RECOMBINATION	9.7e-07	3.4e-05	28	23	170	151	0		TOP2A,CCNB2,ASF1B,SMC4,DTL,WHSC1,PRC1,CKAP2,KIAA0101,ARHGAP19,NUSAP1,DCTPP1,CDKN3,ECT2,UBE2T,ZWINT,UBE2C,GLTSCR2,RABIF,EZH1,ABCB1,ADD3,EHBP1,TF,JUN
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	1e-06	3.4e-05	17	16	170	151	0		TOP2A,SMC4,ASF1B,WHSC1,DTL,PRC1,CCNB2,CKAP2,KIAA0101,ECT2,NUSAP1,ARHGAP19,DCTPP1,UBE2T,CDKN3,ZWINT,UBE2C,ABCB1,GLTSCR2,EZH1,MTHFD2,RABIF,JUN,TNS4,EHBP1,TLN2,FOXO1,PDLIM4
BIOCARTA_RANMS_PATHWAY	1.1e-06	3.6e-05	10	7	170	151	1		WHSC1,PRC1,TOP2A,CCNB2,SMC4,DTL,KIAA0101,ASF1B,CKAP2,NUSAP1,UBE2T,ARHGAP19,CDKN3,ZWINT,DCTPP1,UBE2C,ECT2,SPTBN1,ACTG2,KIT,DPYSL2,MTHFD2,RABIF,NR3C1,MME,PAK7,ADD3
REACTOME_MITOTIC_M_M_G1_PHASES	1.1e-06	3.5e-05	172	147	170	151	1	ZWINT	SMC4,TOP2A,CCNB2,WHSC1,PRC1,ASF1B,DTL,CKAP2,NUSAP1,KIAA0101,DCTPP1,ECT2,UBE2T,CDKN3,UBE2C,ARHGAP19,RABIF,GLTSCR2,MTHFD2,ADD3,JUN,DPYSL2,NR3C1,EZH1,SPTBN1,SKI,C2orf68,SAV1,ABCB1,EHBP1,SPRY2,CAPN6,C5orf4,FOXN3
REACTOME_G0_AND_EARLY_G1	1.4e-06	4.3e-05	25	18	170	151	1		CCNB2,ASF1B,SMC4,DTL,PRC1,WHSC1,NUSAP1,CKAP2,DCTPP1,TOP2A,ECT2,KIAA0101,ARHGAP19,CDKN3,UBE2C,UBE2T,ZWINT,MTHFD2,GLTSCR2,ADD3,CBX7,RABIF,FOXO1,C2orf68,SPTBN1,EZH1,NR3C1,MME,METTL7A,SKI,SAV1
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	1.8e-06	5.3e-05	10	8	170	151	1		PRC1,CKAP2,CCNB2,DTL,SMC4,TOP2A,NUSAP1,WHSC1,ASF1B,ZWINT,DCTPP1,CDKN3,UBE2C,UBE2T,ARHGAP19,ECT2,RABIF,KIAA0101,MTHFD2
REACTOME_EXTENSION_OF_TELOMERES	2.3e-06	6.8e-05	27	24	170	151	0		CCNB2,ASF1B,PRC1,SMC4,DCTPP1,TOP2A,WHSC1,DTL,NUSAP1,KIAA0101,ARHGAP19,UBE2T,CKAP2,ECT2,UBE2C,CDKN3,ZWINT,GLTSCR2,MTHFD2,SPTBN1,ACTG2,RABIF,JUN,MME,METTL7A,MOCS1,TCF7L2
KEGG_BASE_EXCISION_REPAIR	2.9e-06	8.2e-05	35	28	170	151	0		TOP2A,WHSC1,SMC4,DTL,CCNB2,ASF1B,NUSAP1,DCTPP1,PRC1,KIAA0101,CKAP2,UBE2T,ARHGAP19,ECT2,ZWINT,GLTSCR2,CDKN3,UBE2C,MTHFD2,TCF7L2,EZH1,MME,METTL7A,SPRY2,MOCS1,C2orf68
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	3.3e-06	9.1e-05	10	10	170	151	0		TOP2A,CCNB2,SMC4,ASF1B,PRC1,WHSC1,DCTPP1,DTL,NUSAP1,CKAP2,ARHGAP19,KIAA0101,ECT2,ZWINT,UBE2T,UBE2C,GLTSCR2,CDKN3,RABIF,SPTBN1,MTHFD2,EZH1,MME,METTL7A,ADD3,MOCS1
REACTOME_MITOTIC_G2_G2_M_PHASES	4.1e-06	0.00011	81	58	170	151	2	CCNB2	DTL,TOP2A,CKAP2,SMC4,WHSC1,PRC1,NUSAP1,DCTPP1,ASF1B,ZWINT,ECT2,KIAA0101,UBE2T,ARHGAP19,UBE2C,CDKN3,SPTBN1,DPYSL2,RABIF,MTHFD2,ACTG2,KIT,EZH1,JUN,ADD3,SPRY2,EFHA2,NR3C1,CAV1,B3GNT1,SKI,BOC,LPHN3,NDN,CRYAB,TF,SAV1,TCF7L2,GPM6B,ABCB1,RBMS3,EHBP1,GPRASP1,SDPR,PDLIM4,MME
REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	8.7e-06	0.00023	14	13	170	151	0		CCNB2,SMC4,ASF1B,PRC1,TOP2A,WHSC1,DCTPP1,DTL,NUSAP1,CKAP2,ARHGAP19,KIAA0101,ECT2,UBE2T,CDKN3,UBE2C,ZWINT,GLTSCR2,MTHFD2,SPTBN1,RABIF,MME,EZH1,METTL7A,ADD3
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	1.2e-05	0.00032	24	20	170	151	0		SMC4,TOP2A,ASF1B,WHSC1,CCNB2,DTL,PRC1,CKAP2,KIAA0101,NUSAP1,ECT2,ARHGAP19,DCTPP1,ZWINT,UBE2T,CDKN3,UBE2C,ABCB1,EZH1,GLTSCR2,MTHFD2,RABIF,JUN,ADD3,TNS4,TCF7L2,EHBP1,TLN2,PDLIM4,MME
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	8.9e-05	0.0022	24	16	170	151	1	UBE2C	SMC4,DTL,PRC1,CCNB2,CKAP2,WHSC1,TOP2A,NUSAP1,DCTPP1,ASF1B,ECT2,ZWINT,KIAA0101,UBE2T,ARHGAP19,CDKN3,GLTSCR2,RABIF,MTHFD2,SPTBN1,EZH1,SKI,C2orf68,JUN,FOXO1,ADD3,EHBP1,CAPN6,ABCB1,EFHA2
REACTOME_SIGNALING_BY_BMP	1e-04	0.0025	23	19	170	151	2	SKI,CHRDL1	CAV1,TMEM47,RBMS3,TCF7L2,DMD,BOC,NR3C1,PAK7,SPTBN1,IGFBP6,C3orf64,DENND2A,PLEKHH2,RHOJ,TRPC1,KIT,SEMA6D,GSTM5,CAV2,ADAMTS5,FIGF,MATN2,SDPR,CRYAB,LEPREL1,NDN,LAMA3,IL11RA,LPHN3,PDGFA
BIOCARTA_CELLCYCLE_PATHWAY	0.00011	0.0026	23	21	170	151	1		CCNB2,TOP2A,DTL,SMC4,ECT2,DCTPP1,NUSAP1,PRC1,WHSC1,ASF1B,CKAP2,KIAA0101,UBE2C,UBE2T,CDKN3,ZWINT,ARHGAP19,SPTBN1,MTHFD2,GLTSCR2,PAK7,CAV1,SKI,TCF7L2,EZH1,RABIF,EFHA2,CAV2,ACTG2,ETV5,C3orf64,LEPREL1,RHOJ,KIT,FOXN3
BIOCARTA_G1_PATHWAY	0.00012	0.0029	28	24	170	151	1		NUSAP1,WHSC1,SMC4,CCNB2,TOP2A,DCTPP1,DTL,ASF1B,PRC1,KIAA0101,ECT2,CKAP2,UBE2C,UBE2T,SPTBN1,ARHGAP19,ZWINT,CDKN3,MTHFD2,GLTSCR2,CAV1,SKI,FIGF,ADAMTS5,PDGFA,MATN2,BOC,C2orf68,ABCB1,KIT,CRYAB,CAV2,CHL1,RHOJ,TLN2,TMEM47,EZH1,PDLIM4,DPYSL2,NPR1,MAMDC2,TCF7L2,NR3C1,RBMS3,LEPREL1,ETV5,EFHA2,DENND2A,EDNRB,LAMA3,SEMA5A,LIFR,FOXO1,FOXN3,GSTM5,IGFBP6,PALMD,RGMA,CX3CL1
KEGG_P53_SIGNALING_PATHWAY	0.00022	0.005	69	49	170	151	3	CCNB2	NUSAP1,DTL,SMC4,ASF1B,CKAP2,WHSC1,DCTPP1,UBE2T,ECT2,PRC1,UBE2C,TOP2A,CDKN3,KIAA0101,ZWINT,ARHGAP19,CAV1,PDGFA,MTHFD2,FIGF,RHOJ,LEPREL1,ADAMTS5,MATN2,LAMA3,TP63,TF,TCF7L2,CAV2,CNN1,TNS4,ETV5,IGFBP6,JUN,PPL,ABCB1,CHRDL1,GSTM5,ADD3,FOXO1,DENND2A,COL17A1,CLDN11,SEMA6D
BIOCARTA_ATRBRCA_PATHWAY	0.00023	0.0051	21	19	170	151	0		SMC4,ASF1B,WHSC1,TOP2A,CCNB2,DTL,CKAP2,NUSAP1,ECT2,KIAA0101,PRC1,DCTPP1,UBE2T,CDKN3,ARHGAP19,ZWINT,UBE2C,ABCB1,GLTSCR2,EZH1,SAV1,JUN,C2orf68,EHBP1,RABIF,TLN2,PDLIM4,TNS4
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.00025	0.0055	26	24	170	151	1	B3GNT1	MATN2,ADAMTS5,ITIH5,LEPREL1,TLN2,GSTM5,THRA,ACTG2,NDN,MAMDC2,GPM6B,IGFBP6,LPHN3,LARP6,LAMA3,RBMS3,BOC,FIGF,CHL1,CRYAB,PDGFA,CAV2,FAM13A,PALMD,SDPR,FXYD1,EZH1,RHOJ,COL17A1,CX3CL1,TCEAL2,TNS4
BIOCARTA_ATM_PATHWAY	0.00026	0.0056	20	18	170	151	1	JUN	TOP2A,SMC4,ASF1B,WHSC1,DTL,CKAP2,CCNB2,ECT2,NUSAP1,PRC1,KIAA0101,ZWINT,ARHGAP19,DCTPP1,CDKN3,UBE2T,UBE2C,ABCB1,EZH1,MTHFD2,PDLIM4,EHBP1,SAV1,TLN2,TNS4,FOXO1,ODZ2,KIT,EFHA2,NPR1,GPRASP1,TRPC1,SKI,CAV2,TP63,BOC
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	3e-04	0.0063	11	9	170	151	1		DMD,DENND2A,MATN2,PDGFA,SPTBN1,LARP6,CAV1,RBMS3,RHOJ,BOC,CRYAB,TLN2,NPR1,CHL1,TF,ACTG2,ETV5,CAV2,SEMA6D,KIT,HLF,IL11RA,SEMA5A,TMEM47,IGFBP6,FXYD1,GSTM5,TNS4,RGMA
REACTOME_ROLE_OF_DCC_IN_REGULATING_APOPTOSIS	0.00032	0.0066	10	6	170	151	0		BOC,SPTBN1,DMD,NDN,B3GNT1,DPYSL2,LARP6,KIT,NR3C1,EHBP1,SKI
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	0.00039	0.0079	64	39	170	151	0		CCNB2,TOP2A,ASF1B,ACTG2,PRC1,SMC4,NUSAP1,CKAP2,DTL,WHSC1,KIAA0101,ZWINT,CDKN3,ECT2,UBE2T,ARHGAP19,DCTPP1,UBE2C,JUN,TCF7L2,GLTSCR2,SPTBN1,MTHFD2,TP63,ABCB1,ADD3,CBX7,DMD,NPR1,RABIF,MME,CAV1,PDLIM4,RHOJ,EZH1,SEMA6D,SAV1
BIOCARTA_ERYTH_PATHWAY	0.00053	0.011	15	10	170	151	0		FIGF,PDGFA,ADAMTS5,MATN2,BOC,CAV1,TF,CRYAB,RHOJ,TMEM47,SPTBN1,CHL1,TLN2,MAMDC2,RBMS3,DMD,CAV2,GSTM5,LAMA3,DENND2A,EDNRB,LEPREL1,SKI,SEMA5A,LIFR,PDLIM4,ETV5,IGFBP6,PALMD,CX3CL1,RGMA
KEGG_ABC_TRANSPORTERS	0.00066	0.013	44	30	170	151	4	ABCB1,ABCA6,ABCA8	NPR1,PDLIM4,SEMA6D,EHBP1,TF,PDGFA,B3GNT1,FXYD1
REACTOME_KERATAN_SULFATE_DEGRADATION	7e-04	0.013	11	9	170	151	0		MATN2,ADAMTS5,ITIH5,LEPREL1,ACTG2,GSTM5,TF,MAMDC2,IGFBP6,C3orf64,RBMS3,LAMA3,BOC,CHL1,CRYAB,DPYSL2,FIGF,NDN,CAV1,RABIF,PALMD,SDPR,ADD3,FXYD1,RHOJ,CRTAC1
BIOCARTA_SRCRPTP_PATHWAY	0.00078	0.015	11	9	170	151	1		CCNB2,TOP2A,UBE2C,PRC1,NUSAP1,DTL,ECT2,DCTPP1,ASF1B,WHSC1,CKAP2,KIAA0101,ARHGAP19,SMC4,CDKN3,UBE2T,ZWINT,SPTBN1,KIT,ADD3,MTHFD2,GLTSCR2,RABIF,DPYSL2,EZH1,GPM6B,B3GNT1,TF,PAK7,C2orf68,ETV5
KEGG_BASAL_CELL_CARCINOMA	0.00084	0.016	55	51	170	151	1	TCF7L2	BOC,SPRY2,DPYSL2,CAV1,MATN2,DMD,LAMA3,RBMS3,SKI,TLN2,ADAMTS5,CAV2,CHL1,SEMA6D,TMEM47,NDN,TF,MAB21L1,ADD3,THRA,SPTBN1,B3GNT1,EBF1,RHOJ,LPL,LAMB3,COL17A1,FIGF,GPM6B,C3orf64,LPHN3,EHBP1,NPR1,CNN1,DENND2A,MAMDC2,SDPR,FOXN3,FAM13A,EFHA2,SCN3A,ABCB1,GPRASP1,PDLIM4,KIT
